title,gross,valence,arousal,dominance
Training Day ,76261036,0.717500001,0.571999997,0.610499993
Shakespeare in Love ,100241322,0.948199999,0.526199996,0.648599994
Eye of the Beholder ,16459004,0.683399999,0.363800001,0.500400001
Carriers ,90820,0.532999992,0.588,0.638000011
Arthur and the Invisibles ,15131330,0.427499995,0.402999997,0.397
A Beautiful Mind ,170708996,0.752833327,0.513500005,0.669333329
The Girl Next Door ,14589444,0.644500017,0.380500011,0.431999996
Knockaround Guys ,11632420,0.583000004,0.367000014,0.546000004
Zero Effect ,1980338,0.63099999,0.595500007,0.672499985
I Spy ,33105600,0.25999999,0.68599999,0.529999971
Due Date ,100448498,0.510999988,0.344000002,0.385
Spice World ,29247405,0.551333318,0.481666664,0.47633333
The Guru ,3034181,0.573000014,0.360000014,0.652999997
The Muse ,11614236,0.737999996,0.314999998,0.514999996
Close Encounters of the Third Kind ,128300000,0.625250002,0.308375001,0.436874997
The Perks of Being a Wallflower ,17738570,0.784999996,0.408500001,0.511999995
The Last Exorcism Part II ,15152879,0.460666664,0.512000004,0.467166662
Avatar ,760505847,0.633000016,0.409999996,0.566999972
Kicking & Screaming ,52580895,0.257749997,0.839249998,0.522500001
Stop-Loss ,10911750,0.243333337,0.486333321,0.391333332
Big Momma's House ,117559438,0.749500006,0.359749999,0.61575
Slam ,982214,0.458999991,0.577000022,0.479999989
Murder by Numbers ,31874869,0.234999995,0.612833326,0.556666657
How to Be a Player ,13960203,0.556999981,0.688000023,0.643999994
The Sorcerer's Apprentice ,63143812,0.496000007,0.523000002,0.542000011
Married Life ,1506998,0.829333345,0.649999996,0.699666659
The Big Bounce ,6471394,0.588499993,0.610500008,0.598999992
Tremors ,16667084,0.104000002,0.833000004,0.455000013
Aliens in the Attic ,25200412,0.393200001,0.465399998,0.482400006
Shark Night 3D ,18860403,0.51033332,0.550333341,0.491333346
Night at the Museum ,250863268,0.687666655,0.337333332,0.453000009
Attack the Block ,1024175,0.258250006,0.774250008,0.585750014
Cats & Dogs: The Revenge of Kitty Galore ,43575716,0.535800001,0.604799998,0.545399988
Immortals ,83503161,0.75,0.692499995,0.828000009
Motherhood ,92900,0.843999982,0.546000004,0.666999996
The Fast and the Furious: Tokyo Drift ,62494975,0.228000006,0.662,0.466799998
The Nutcracker ,2119994,0.63499999,0.377999991,0.522000015
Sunshine State ,3064356,0.758999983,0.448333323,0.762666663
A Cinderella Story ,51431160,0.652999997,0.405999988,0.703999996
Romance & Cigarettes ,540085,0.599500008,0.604999989,0.445500001
Dream with the Fishes ,464655,0.749999988,0.290999997,0.369799995
Star Wars: Episode VI - Return of the Jedi ,309125409,0.583833334,0.525333345,0.534166669
